timestamp,temperature,feels_like,pressure,humidity,dew_point,uvi,clouds,visibility,wind_speed,wind_deg,weather_id,weather_main,weather_description,Time,Pressure_self_corrected,Pressure_self
1760299200,11.84,11.22,1031,82,8.87,,75,10000,2.57,100,803,Clouds,broken clouds,2025-10-12 21:00:00+01:00,1031.0,
1760306400,11.52,11.0,1031,87,9.43,,75,10000,3.6,100,803,Clouds,broken clouds,2025-10-12 23:00:00+01:00,1031.0,
1760313600,11.53,11.04,1031,88,9.61,,75,10000,3.09,90,803,Clouds,broken clouds,2025-10-13 01:00:00+01:00,1031.0,
1760320800,11.53,11.11,1030,91,10.11,,75,10000,2.57,90,803,Clouds,broken clouds,2025-10-13 03:00:00+01:00,1030.0,
1760328000,11.53,11.04,1030,88,9.61,,75,10000,2.06,90,803,Clouds,broken clouds,2025-10-13 05:00:00+01:00,1030.0,
1760335200,11.24,10.74,1030,89,9.5,,75,10000,1.03,0,803,Clouds,broken clouds,2025-10-13 07:00:00+01:00,1030.0,
1760342400,10.42,9.82,1030,88,8.52,,75,8000,2.57,280,803,Clouds,broken clouds,2025-10-13 09:00:00+01:00,1030.8131442965816,1027.871824638655
1760349600,12.36,11.79,1031,82,9.38,,75,10000,2.57,130,803,Clouds,broken clouds,2025-10-13 11:00:00+01:00,1031.0,
1760356800,13.35,12.91,1030,83,10.53,,75,10000,3.09,140,803,Clouds,broken clouds,2025-10-13 13:00:00+01:00,1030.0,
1760364000,13.5,13.07,1030,83,10.67,,75,10000,3.58,150,803,Clouds,broken clouds,2025-10-13 15:00:00+01:00,1030.0,
1760371200,13.5,13.07,1030,83,10.67,,75,10000,2.57,110,803,Clouds,broken clouds,2025-10-13 17:00:00+01:00,1030.1626450535164,1027.2184003728812
1760378400,12.99,12.62,1030,87,10.88,,75,10000,3.09,110,803,Clouds,broken clouds,2025-10-13 19:00:00+01:00,1030.0,
1760385600,12.78,12.46,1031,90,11.18,,75,10000,2.57,110,803,Clouds,broken clouds,2025-10-13 21:00:00+01:00,1031.0,
1760392800,12.78,12.49,1031,91,11.35,,75,10000,2.24,140,300,Drizzle,light intensity drizzle,2025-10-13 23:00:00+01:00,1031.0,
1760400000,12.78,12.49,1031,91,11.35,,75,10000,1.54,0,803,Clouds,broken clouds,2025-10-14 01:00:00+01:00,1031.0,
1760407200,12.2,11.9,1031,93,11.1,,75,10000,2.06,90,803,Clouds,broken clouds,2025-10-14 03:00:00+01:00,1031.0,
1760414400,12.04,11.78,1031,95,11.26,,75,8000,1.54,80,300,Drizzle,light intensity drizzle,2025-10-14 05:00:00+01:00,1031.0,
1760421600,12.25,12.01,1031,95,11.47,,75,7000,2.57,30,300,Drizzle,light intensity drizzle,2025-10-14 07:00:00+01:00,1031.0,
1760428800,12.25,12.04,1032,96,11.63,,75,5000,2.06,360,300,Drizzle,light intensity drizzle,2025-10-14 09:00:00+01:00,1031.3303000830626,1028.3913058581559
1760436000,12.43,12.18,1033,94,11.49,,75,10000,2.24,360,300,Drizzle,light intensity drizzle,2025-10-14 11:00:00+01:00,1033.0,
1760443200,13.27,13.0,1032,90,11.67,,75,10000,2.06,70,300,Drizzle,light intensity drizzle,2025-10-14 13:00:00+01:00,1032.0,
1760450400,13.27,12.98,1032,89,11.5,,100,10000,2.68,80,804,Clouds,overcast clouds,2025-10-14 15:00:00+01:00,1032.0,
1760457600,13.27,12.98,1032,89,11.5,,75,10000,2.57,90,803,Clouds,broken clouds,2025-10-14 17:00:00+01:00,1032.1315104929954,1029.196118975806
1760464800,12.78,12.49,1032,91,11.35,,75,7000,2.57,40,300,Drizzle,light intensity drizzle,2025-10-14 19:00:00+01:00,1032.0,
1760472000,12.04,11.75,1032,94,11.1,,75,6000,2.57,30,300,Drizzle,light intensity drizzle,2025-10-14 21:00:00+01:00,1032.0,
1760479200,11.53,11.19,1032,94,10.6,,75,8000,3.6,50,300,Drizzle,light intensity drizzle,2025-10-14 23:00:00+01:00,1032.0,
1760486400,11.7,11.35,1033,93,10.61,,75,8000,2.57,50,300,Drizzle,light intensity drizzle,2025-10-15 01:00:00+01:00,1033.0,
