Time,Pressure_self,timestamp,temperature,feels_like,Pressure_weather,humidity,dew_point,uvi,clouds,visibility,wind_speed,wind_deg,weather_id,weather_main,weather_description
2025-10-01 17:12:09.650696993+01:00,1019.995346,1759334400,18.16,18.04,1021,77,14.07,,75,10000,8.23,210,803,Clouds,broken clouds
2025-10-01 17:12:10.712215900+01:00,1020.001068,1759334400,18.16,18.04,1021,77,14.07,,75,10000,8.23,210,803,Clouds,broken clouds
2025-10-01 17:12:11.773741961+01:00,1020.006714,1759334400,18.16,18.04,1021,77,14.07,,75,10000,8.23,210,803,Clouds,broken clouds
2025-10-01 17:12:12.835308075+01:00,1020.0177,1759334400,18.16,18.04,1021,77,14.07,,75,10000,8.23,210,803,Clouds,broken clouds
2025-10-01 17:12:13.896857023+01:00,1020.027771,1759334400,18.16,18.04,1021,77,14.07,,75,10000,8.23,210,803,Clouds,broken clouds
2025-10-01 17:12:14.958355904+01:00,1020.037842,1759334400,18.16,18.04,1021,77,14.07,,75,10000,8.23,210,803,Clouds,broken clouds
2025-10-01 17:12:16.019851923+01:00,1020.042801,1759334400,18.16,18.04,1021,77,14.07,,75,10000,8.23,210,803,Clouds,broken clouds
2025-10-01 17:12:17.081362009+01:00,1020.045319,1759334400,18.16,18.04,1021,77,14.07,,75,10000,8.23,210,803,Clouds,broken clouds
2025-10-01 17:12:18.142894030+01:00,1020.045471,1759334400,18.16,18.04,1021,77,14.07,,75,10000,8.23,210,803,Clouds,broken clouds
2025-10-01 17:12:19.204411983+01:00,1020.049515,1759334400,18.16,18.04,1021,77,14.07,,75,10000,8.23,210,803,Clouds,broken clouds
2025-10-01 17:12:20.265934944+01:00,1020.053101,1759334400,18.16,18.04,1021,77,14.07,,75,10000,8.23,210,803,Clouds,broken clouds
2025-10-01 17:12:21.327476978+01:00,1020.060272,1759334400,18.16,18.04,1021,77,14.07,,75,10000,8.23,210,803,Clouds,broken clouds
2025-10-01 17:12:22.389039993+01:00,1020.067825,1759334400,18.16,18.04,1021,77,14.07,,75,10000,8.23,210,803,Clouds,broken clouds
2025-10-01 17:12:23.450577974+01:00,1020.081024,1759334400,18.16,18.04,1021,77,14.07,,75,10000,8.23,210,803,Clouds,broken clouds
2025-10-01 17:12:24.512104034+01:00,1020.098801,1759334400,18.16,18.04,1021,77,14.07,,75,10000,8.23,210,803,Clouds,broken clouds
2025-10-01 17:12:25.573630095+01:00,1020.114136,1759334400,18.16,18.04,1021,77,14.07,,75,10000,8.23,210,803,Clouds,broken clouds
2025-10-01 17:12:26.635121107+01:00,1020.114136,1759334400,18.16,18.04,1021,77,14.07,,75,10000,8.23,210,803,Clouds,broken clouds
2025-10-01 17:12:27.696605921+01:00,1020.108032,1759334400,18.16,18.04,1021,77,14.07,,75,10000,8.23,210,803,Clouds,broken clouds
2025-10-01 17:12:28.758116961+01:00,1020.087433,1759334400,18.16,18.04,1021,77,14.07,,75,10000,8.23,210,803,Clouds,broken clouds
2025-10-01 17:12:29.819621086+01:00,1020.056686,1759334400,18.16,18.04,1021,77,14.07,,75,10000,8.23,210,803,Clouds,broken clouds
2025-10-01 17:12:30.881150007+01:00,1020.023193,1759334400,18.16,18.04,1021,77,14.07,,75,10000,8.23,210,803,Clouds,broken clouds
2025-10-01 17:12:31.942704916+01:00,1019.996872,1759334400,18.16,18.04,1021,77,14.07,,75,10000,8.23,210,803,Clouds,broken clouds
2025-10-01 17:12:33.004254103+01:00,1019.996872,1759334400,18.16,18.04,1021,77,14.07,,75,10000,8.23,210,803,Clouds,broken clouds
2025-10-01 17:12:34.065797091+01:00,1019.998779,1759334400,18.16,18.04,1021,77,14.07,,75,10000,8.23,210,803,Clouds,broken clouds
2025-10-01 17:12:35.127334118+01:00,1020.00061,1759334400,18.16,18.04,1021,77,14.07,,75,10000,8.23,210,803,Clouds,broken clouds
2025-10-01 17:12:36.188914061+01:00,1020.002289,1759334400,18.16,18.04,1021,77,14.07,,75,10000,8.23,210,803,Clouds,broken clouds
2025-10-01 17:12:37.250452042+01:00,1020.004578,1759334400,18.16,18.04,1021,77,14.07,,75,10000,8.23,210,803,Clouds,broken clouds
2025-10-01 17:12:38.311949968+01:00,1020.006256,1759334400,18.16,18.04,1021,77,14.07,,75,10000,8.23,210,803,Clouds,broken clouds
2025-10-01 17:12:39.373461962+01:00,1020.00824,1759334400,18.16,18.04,1021,77,14.07,,75,10000,8.23,210,803,Clouds,broken clouds
2025-10-01 17:12:40.434986115+01:00,1020.009232,1759334400,18.16,18.04,1021,77,14.07,,75,10000,8.23,210,803,Clouds,broken clouds
